Age,Data,Variable,Author,onetal21tag
-2702.27586206897,-10.469,SofularC13,gokturketal11C13,control
-2707.8275862069,-10.301,SofularC13,gokturketal11C13,control
-2713.37931034483,-10.551,SofularC13,gokturketal11C13,control
-2718.93103448276,-10.77,SofularC13,gokturketal11C13,control
-2724.48275862069,-10.604,SofularC13,gokturketal11C13,control
-2730.03448275862,-10.389,SofularC13,gokturketal11C13,control
-2735.58620689655,-10.448,SofularC13,gokturketal11C13,control
-2741.13793103448,-10.632,SofularC13,gokturketal11C13,control
-2746.68965517241,-10.482,SofularC13,gokturketal11C13,control
-2752.24137931034,-10.279,SofularC13,gokturketal11C13,control
-2757.79310344828,-10.247,SofularC13,gokturketal11C13,control
-2763.34482758621,-10.211,SofularC13,gokturketal11C13,control
-2768.89655172414,-10.423,SofularC13,gokturketal11C13,control
-2774.44827586207,-10.506,SofularC13,gokturketal11C13,control
-2780,-10.469,SofularC13,gokturketal11C13,control
-2788.18965517241,-10.71,SofularC13,gokturketal11C13,control
-2796.37931034483,-10.425,SofularC13,gokturketal11C13,control
-2804.56896551724,-10.36,SofularC13,gokturketal11C13,control
-2812.75862068966,-10.693,SofularC13,gokturketal11C13,control
-2820.94827586207,-10.997,SofularC13,gokturketal11C13,control
-2829.13793103448,-10.734,SofularC13,gokturketal11C13,control
-2837.3275862069,-10.833,SofularC13,gokturketal11C13,control
-2845.51724137931,-10.526,SofularC13,gokturketal11C13,control
-2853.70689655173,-10.465,SofularC13,gokturketal11C13,control
-2861.89655172414,-10.092,SofularC13,gokturketal11C13,control
-2870.08620689655,-10.149,SofularC13,gokturketal11C13,control
-2878.27586206897,-10.081,SofularC13,gokturketal11C13,control
-2886.46551724138,-10.303,SofularC13,gokturketal11C13,control
-2894.65517241379,-10.343,SofularC13,gokturketal11C13,control
-2902.84482758621,-10.389,SofularC13,gokturketal11C13,control
-2911.03448275862,-10.317,SofularC13,gokturketal11C13,control
-2919.22413793104,-10.077,SofularC13,gokturketal11C13,control
-2927.41379310345,-9.955,SofularC13,gokturketal11C13,control
