Age,Data,Variable,Author
-3519.9,-9.81316160155933,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3555.5,-9.19798882732228,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3583.2,-9.34548487460535,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3626.3,-9.43934616555651,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3650.2,-9.02963071693449,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3666.4,-9.54149544553001,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3684,-9.7998912288822,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3704.1,-9.5247225118522,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3728.9,-9.2968798583462,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3754.1,-9.41165069959908,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3779.5,-9.46861063508277,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3802.6,-9.53668544171458,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3820.4,-9.32007315311282,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3848.8,-9.02239937872995,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3878.9,-8.48751967804257,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3908.5,-8.44561383847503,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3945.4,-8.63271084422766,grottadiernestoC13,scholzetal12C13_7sg_7sm
-3988.6,-8.98843312351791,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4036.8,-8.88590212512333,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4073.1,-9.48591412435274,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4097.7,-8.46168059416185,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4122.4,-8.8166817517477,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4157.1,-8.84635176826017,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4188.2,-8.36702353977307,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4231.7,-8.4284206292235,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4279.1,-8.45604849947781,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4318.5,-8.5506601167518,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4358.8,-8.97936687838232,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4402.2,-8.41711413225836,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4448.2,-8.24284470536529,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4508,-8.30333363853856,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4550.7,-8.45360309550006,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4579.8,-8.51977159933265,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4610.8,-8.44980787721341,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4644.1,-8.42253744112902,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4683.4,-8.91948148929685,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4726.5,-8.65656931924407,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4771.7,-8.42127565573879,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4819.1,-8.71936297528645,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4848,-8.58233031629268,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4872,-8.45784935596037,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4891.9,-8.70522428535849,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4912.8,-8.4416628942102,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4931.6,-8.79287682611677,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4950.3,-8.93638826583429,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4978.8,-8.69541217957091,grottadiernestoC13,scholzetal12C13_7sg_7sm
-4998.1,-9.17239352250159,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5029,-8.95641662142576,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5063.1,-9.68459996595675,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5088.9,-8.97243928948976,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5123.5,-8.85469712987492,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5156.4,-8.54330823631565,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5188.7,-8.85523126061465,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5227.5,-8.57329120698086,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5274.7,-9.19985367507825,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5311.2,-9.00414693715679,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5370.9,-9.14700373375064,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5416.1,-9.24696035024364,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5438.4,-8.79860407576887,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5458.2,-8.97337938024495,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5480.2,-9.57374876360039,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5497.8,-9.63920427823713,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5514,-9.48835275511903,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5527.4,-9.36589396166755,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5541.8,-9.16683396063273,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5556.9,-9.2410580492744,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5568.2,-9.06965777569484,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5587.4,-9.0321681904014,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5609.2,-8.84218695592803,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5625,-8.64455633002126,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5647.4,-8.14975989665919,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5675,-8.64436696005416,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5703.4,-8.96891858010029,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5746,-8.4734598710538,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5787.5,-7.83461752936407,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5826.2,-8.43847687776698,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5854.7,-8.48141406284724,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5875.7,-8.26088468365003,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5896.8,-8.41155304518664,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5917.6,-8.4483738462712,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5940.4,-8.42042656389282,grottadiernestoC13,scholzetal12C13_7sg_7sm
-5970.4,-8.73877681137694,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6006.7,-8.18857142857143,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6042.1,-8.67598419985937,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6079.3,-8.44741941006441,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6120.2,-8.59048732535765,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6155.5,-8.66858716525581,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6191.4,-8.95298283572874,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6221.2,-8.19739752808882,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6254.2,-8.025874711724,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6288.3,-8.34642780399228,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6365.2,-8.39228625797906,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6454.4,-9.14853115904297,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6477.2,-9.03583384913347,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6501.8,-8.4059831189783,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6519,-8.27492852098563,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6535.8,-8.94477043111459,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6563.4,-8.17721169453777,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6608.3,-8.83686086449356,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6641.4,-8.92750891963346,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6673.7,-8.68561177628988,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6711.9,-8.83679694229113,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6738.3,-8.24823578617879,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6779.1,-8.04180482667133,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6816.4,-8.33784111821926,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6849,-7.99088534350485,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6882.8,-8.02286659214352,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6924.1,-8.58103103990684,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6954.3,-8.85075488470186,grottadiernestoC13,scholzetal12C13_7sg_7sm
-6987.5,-8.3589211214369,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7023,-8.6604937311437,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7061.4,-8.30661306710931,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7095.6,-8.21102505404797,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7136.7,-9.0721103111221,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7168.1,-9.09676483733622,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7216,-8.74877596652113,grottadiernestoC13,scholzetal12C13_7sg_7sm
